NUMMER_TAL	CentX	CentY
8230	571693	6223267
8240	576552	6228513
8250	579949	6231624
8260	568626	6220771
8270	574889	6218312
8300	572639	6200314
8305	599377	6191468
8310	570471	6216139
8320	572749	6214246
8330	576821	6213380
8340	574447	6210128
8350	566405	6197431
8355	567681	6209883
8361	567726	6217506
8362	563497	6215937
8370	566048	6243867
8380	571227	6235865
8381	567095	6228004
8382	565186	6234969
8400	604050	6234106
8410	593532	6240598
8420	592083	6227452
8444	610704	6242166
8450	554188	6235702
8462	561954	6222477
8464	557223	6224412
8471	561596	6230182
8472	551359	6229271
8500	613204	6255632
8520	575514	6232739
8530	576081	6237660
8541	580796	6237064
8543	579317	6242756
8544	582378	6246901
8550	591378	6249494
8560	600269	6246288
8570	608269	6247033
8581	596856	6253956
8585	603857	6262552
8586	601973	6256495
8592	657633	6288164
8600	535036	6225460
8620	524703	6237454
8632	533705	6232666
8641	549130	6225901
8643	537648	6238384
8653	532985	6215343
8654	531561	6208521
8660	555680	6210427
8670	550159	6222696
8680	546079	6216290
8700	554919	6191338
8721	545077	6175878
8722	543758	6180363
8723	543891	6184892
8732	560338	6201314
8740	538000	6204464
8751	553266	6199706
8752	546939	6203332
8762	541785	6191803
8763	538446	6193280
8765	531272	6198242
8766	525853	6202458
8781	551091	6183835
8783	553287	6180083
8800	520245	6253436
8830	537442	6262346
8831	518709	6264041
8832	523042	6272616
8840	531376	6244364
8850	540251	6248568
8860	548301	6248480
8870	555307	6248094
8881	548400	6240595
8882	544084	6236283
8883	545917	6231015
8900	563696	6257764
8950	581441	6265463
8961	587916	6259872
8963	585971	6254243
8970	575461	6278956
8981	563254	6266931
8983	568876	6271087
8990	553335	6267797
9000	552293	6322058
9200	551993	6318523
9210	556783	6317818
9220	561074	6322243
9230	552762	6312548
9240	535792	6311882
9260	561079	6311692
9270	564171	6319684
9280	571854	6311402
9293	567584	6305544
9300	588063	6351122
9310	566280	6329338
9320	569584	6338147
9330	579382	6339069
9340	583673	6333448
9352	579650	6348903
9362	572860	6324122
9370	578996	6323569
9380	558459	6332343
9381	558485	6335878
9382	556713	6340644
9400	556500	6327714
9430	552206	6332325
9440	544936	6334847
9460	531490	6330443
9480	546153	6358410
9490	537537	6340926
9492	536528	6345529
9493	541463	6347425
9500	546491	6278093
9510	556072	6291436
9520	555516	6299822
9530	549207	6306045
9541	541993	6300311
9550	560998	6276276
9560	571813	6290982
9574	569591	6298323
9575	564221	6295785
9600	529838	6296169
9610	541437	6289146
9620	530262	6282588
9631	522320	6283295
9632	531152	6273572
9640	518127	6293233
9670	518572	6310239
9681	512200	6305936
9690	514170	6327183
9700	556262	6347885
9740	568220	6349824
9750	576489	6355419
9760	557224	6357478
9800	560157	6370573
9830	569103	6359634
9850	558351	6379273
9870	575751	6369729
9881	573586	6380727
9900	586295	6365904
9940	621606	6350407
9970	589334	6373114
9981	584902	6376853
9982	582010	6385498
9990	589147	6395811
